ArtNo;BrandNo;Extension;Name;Height;Width;Path;Url;Description;Langue;CountryCode;Exclude;DocType;SortNo;
30350016;232;JPG;30350016;NULL;NULL;0232/030350016.JPG;NULL;NULL;Universel;NULL;0;3;1;
30350016;232;JPG;030350016_A;NULL;NULL;0232/030350016_A.JPG;NULL;NULL;Universel;NULL;0;3;2;
30350016;232;JPG;030350016_B;NULL;NULL;0232/030350016_B.JPG;NULL;NULL;Universel;NULL;0;3;3;
30350017;232;JPG;30350017;NULL;NULL;0232/030350017.JPG;NULL;NULL;Universel;NULL;0;3;1;
30350017;232;JPG;030350017_B;NULL;NULL;0232/030350017_B.JPG;NULL;NULL;Universel;NULL;0;3;2;
30350017;232;JPG;030350017_C;NULL;NULL;0232/030350017_C.JPG;NULL;NULL;Universel;NULL;0;3;3;
30350017;232;JPG;030350017_D;NULL;NULL;0232/030350017_D.JPG;NULL;NULL;Universel;NULL;0;3;4;
30350017;232;JPG;030350017_E;NULL;NULL;0232/030350017_E.JPG;NULL;NULL;Universel;NULL;0;3;5;
30350018;232;JPG;30350018;NULL;NULL;0232/030350018.JPG;NULL;NULL;Universel;NULL;0;3;1;
30350018;232;JPG;030350018_A;NULL;NULL;0232/030350018_A.JPG;NULL;NULL;Universel;NULL;0;3;2;
30350018;232;JPG;030350018_B;NULL;NULL;0232/030350018_B.JPG;NULL;NULL;Universel;NULL;0;3;3;
30350019;232;JPG;30350019;NULL;NULL;0232/030350019.JPG;NULL;NULL;Universel;NULL;0;3;1;
30350019;232;JPG;030350019_B;NULL;NULL;0232/030350019_B.JPG;NULL;NULL;Universel;NULL;0;3;2;
30350019;232;JPG;030350019_C;NULL;NULL;0232/030350019_C.JPG;NULL;NULL;Universel;NULL;0;3;3;
30350019;232;JPG;030350019_E;NULL;NULL;0232/030350019_E.JPG;NULL;NULL;Universel;NULL;0;3;4;
30350109;232;BMP;30350109;NULL;NULL;0232/030350109.BMP;NULL;NULL;Universel;NULL;0;1;1;
30350209;232;BMP;30350209;NULL;NULL;0232/030350209.BMP;NULL;NULL;Universel;NULL;0;1;1;
30350509;232;BMP;30350509;NULL;NULL;0232/030350509.BMP;NULL;NULL;Universel;NULL;0;1;1;
30350609;232;BMP;30350609;NULL;NULL;0232/030350609.BMP;NULL;NULL;Universel;NULL;0;1;1;
30350909;232;BMP;30350909;NULL;NULL;0232/030350909.BMP;NULL;NULL;Universel;NULL;0;1;1;
30351209;232;BMP;30351209;NULL;NULL;0232/030351209.BMP;NULL;NULL;Universel;NULL;0;1;1;
30351509;232;BMP;30351509;NULL;NULL;0232/030351509.BMP;NULL;NULL;Universel;NULL;0;1;1;
30351609;232;BMP;30351609;NULL;NULL;0232/030351609.BMP;NULL;NULL;Universel;NULL;0;1;1;
30351709;232;BMP;30351709;NULL;NULL;0232/030351709.BMP;NULL;NULL;Universel;NULL;0;1;1;
30351809;232;BMP;30351809;NULL;NULL;0232/030351809.BMP;NULL;NULL;Universel;NULL;0;1;1;
30352009;232;BMP;30352009;NULL;NULL;0232/030352009.BMP;NULL;NULL;Universel;NULL;0;1;1;
30352209;232;BMP;30352209;NULL;NULL;0232/030352209.BMP;NULL;NULL;Universel;NULL;0;1;1;
030360310WB;232;BMP;030360310WB;NULL;NULL;0232/030360310WB.BMP;NULL;NULL;Universel;NULL;0;1;1;
30360809;232;BMP;30360809;NULL;NULL;0232/030360809.BMP;NULL;NULL;Universel;NULL;0;1;1;
30362009;232;BMP;30362009;NULL;NULL;0232/030362009.BMP;NULL;NULL;Universel;NULL;0;1;1;
30363609;232;BMP;30363609;NULL;NULL;0232/030363609.BMP;NULL;NULL;Universel;NULL;0;1;1;
30390709;232;BMP;30390709;NULL;NULL;0232/030390709.BMP;NULL;NULL;Universel;NULL;0;1;1;
0304024615C;232;BMP;0304024615C;NULL;NULL;0232/0304024615C.BMP;NULL;NULL;Universel;NULL;0;1;1;
0304027615C;232;BMP;0304027615C;NULL;NULL;0232/0304027615C.BMP;NULL;NULL;Universel;NULL;0;1;1;
0304031013C;232;BMP;0304031013C;NULL;NULL;0232/0304031013C.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406001;232;BMP;30406001;NULL;NULL;0232/030406001.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406003;232;BMP;30406003;NULL;NULL;0232/030406003.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406004;232;BMP;30406004;NULL;NULL;0232/030406004.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406005;232;BMP;30406005;NULL;NULL;0232/030406005.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406007;232;BMP;30406007;NULL;NULL;0232/030406007.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406008;232;BMP;30406008;NULL;NULL;0232/030406008.BMP;NULL;NULL;Universel;NULL;0;1;1;
30406009;232;BMP;30406009;NULL;NULL;0232/030406009.BMP;NULL;NULL;Universel;NULL;0;1;1;
0306031013C;232;BMP;0306031013C;NULL;NULL;0232/0306031013C.BMP;NULL;NULL;Universel;NULL;0;1;1;
0306039612C;232;BMP;0306039612C;NULL;NULL;0232/0306039612C.BMP;NULL;NULL;Universel;NULL;0;1;1;
307020600;232;BMP;307020600;NULL;NULL;0232/0307020600.BMP;NULL;NULL;Universel;NULL;0;1;1;
